session,right_contrast,left_contrast,prev_ans,bias,choice
0.0,0.0,1.0,0.0,1.0,1.0
0.0,0.987,0.0,0.22119921692859515,1.0,0.0
0.0,0.987,0.0,-0.048929093569823695,1.0,1.0
0.0,0.0,0.987,0.1830932005414424,1.0,0.0
0.0,0.987,0.0,-0.07860608897187005,1.0,0.0
0.0,0.0,1.0,-0.28241770057406806,1.0,1.0
0.0,1.0,0.0,0.0012520905682854022,1.0,0.0
0.0,0.987,0.0,-0.22022408781353817,1.0,1.0
0.0,0.0,0.987,0.04968852488822578,1.0,0.0
0.0,0.987,0.0,-0.1825017548359819,1.0,0.0
0.0,1.0,0.0,-0.3633317265067634,1.0,1.0
0.0,0.0,1.0,-0.0617638161895577,1.0,0.0
0.0,0.0,1.0,-0.269300925342501,1.0,0.0
0.0,1.0,0.0,-0.43093098846718886,1.0,0.0
0.0,0.0,0.987,-0.5568086081965764,1.0,0.0
0.0,0.0,0.987,-0.654842197012988,1.0,0.0
0.0,0.0,0.987,-0.7311908327505093,1.0,0.0
0.0,0.0,0.987,-0.7906512100493245,1.0,0.0
0.0,0.987,0.0,-0.8369589984513629,1.0,0.0
0.0,0.0,0.987,-0.8730235403211752,1.0,1.0
0.0,0.0,1.0,-0.45871219991330636,1.0,0.0
0.0,1.0,0.0,-0.578444637425485,1.0,0.0
0.0,0.0,0.987,-0.6716923535190178,1.0,0.0
0.0,0.987,0.0,-0.7443137478322811,1.0,0.0
0.0,0.0,1.0,-0.8008713465911879,1.0,1.0
0.0,0.0,0.987,-0.4025200149360725,1.0,1.0
0.0,0.0,1.0,-0.09228368590553168,1.0,0.0
0.0,0.0,1.0,-0.2930698237765388,1.0,1.0
0.0,0.0,0.987,-0.0070437913231719,1.0,0.0
0.0,0.0,0.987,-0.226684927126873,1.0,1.0
0.0,0.0,1.0,0.04465681817170211,1.0,1.0
0.0,1.0,0.0,0.2559779818901941,1.0,0.0
0.0,0.987,0.0,-0.021843364183474073,1.0,0.0
0.0,0.0,1.0,-0.23821084605959864,1.0,1.0
0.0,0.987,0.0,0.03568042348127784,1.0,0.0
0.0,0.0,0.987,-0.19341127518105664,1.0,1.0
0.0,0.0,0.987,0.07057036436274927,1.0,1.0
0.0,0.987,0.0,0.27615947195593865,1.0,1.0
0.0,0.0,0.987,0.43627242994046583,1.0,0.0
0.0,0.0,0.987,0.11857009314150427,1.0,0.0
0.0,0.987,0.0,-0.12885673554114221,1.0,0.0
0.0,1.0,0.0,-0.32155294347206165,1.0,1.0
0.0,0.0,1.0,-0.02922646724636166,1.0,1.0
0.0,0.0,1.0,0.1984376213507179,1.0,0.0
0.0,0.0,1.0,-0.0666558420298291,1.0,0.0
0.0,0.0,1.0,-0.27311083889770993,1.0,0.0
0.0,0.0,1.0,-0.43389815212741994,1.0,0.0
0.0,0.0,1.0,-0.5591194375786653,1.0,0.0
0.0,1.0,0.0,-0.6566418727453032,1.0,1.0
0.0,0.0,1.0,-0.2901939877629208,1.0,0.0
0.0,1.0,0.0,-0.44720252184097153,1.0,0.0
0.0,0.0,1.0,-0.5694808911298508,1.0,0.0
0.0,0.0,1.0,-0.6647113808847244,1.0,0.0
0.0,1.0,0.0,-0.7388769608780933,1.0,0.0
0.0,0.0,1.0,-0.796637172653874,1.0,0.0
0.0,1.0,0.0,-0.8416208708152222,1.0,1.0
0.0,0.0,1.0,-0.43425577631153756,1.0,0.0
0.0,0.0,1.0,-0.5593979555733014,1.0,1.0
0.0,0.0,0.987,-0.21446034892043495,1.0,1.0
